Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,23.47956132,1,12670.5,2.59,1.14,1.88,0.23,456,73,9,3.02,0.38
EDUCATED GUESS 11-1H,S505,MWRY,core,147.6676,12.1941,20.82,1,10653.5,1.86,0.21,4.84,0.23,441,300,12,5.05,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,147.3701,13.8881,18.58,1,10620.6,1.81,0.22,4.64,0.42,442,463,11,4.86,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,140.1864,15.8354,18.68,1,10642.7,2.28,0.29,8.05,0.2,441,353,9,8.34,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,156.984,15.5351,18.68,1,10626.8,2.58,0.29,7.25,0.31,440,353,9,7.31,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,119.3044,9.5792,18.04,1,10687.8,1.76,0.22,4.76,0.21,445,300,8,4.98,0.04
DILT 14-26,T322,MWRY,core,142.8218055,62.12401302,8.444666,1,9892,2.25,1.02,1.8,0.39,444,163,13,2.82,0.27
EDUCATED GUESS 11-1H,S505,MWRY,core,140.1864,15.8354,18.68,1,10642.7,2.28,0.29,8.05,0.2,441,353,9,8.34,0.03
TRC 1,D636,MWRY,core,113.0567,26.45286186,21.08789754,1,9926.5,11,2.54,19.44,0.22,445,177,6,21.98,0.12
JAVA STATE 16-10,T482,MWRY,core,192.8937,7.0581,9.87,1,10218.5,2.74,2.85,14.31,0.18,438,522,7,17.16,0.17
EDUCATED GUESS 11-1H,S505,MWRY,core,93.569,9.3217,12.72,1,10538.8,1.33,0.09,3.41,0.23,444,256,17,3.5,0.03
TRC 1,D636,MWRY,core,175.3581948,68.07162026,28.04789512,1,9902,1.44,0.25,1.28,0.29,448,89,20,1.53,0.16
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,8.444666,1,12670.5,2.25,1.02,1.8,0.14,460,80,9,2.82,0.36
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,10.75772682,1,12650.5,2.85,1.27,2.29,0.15,460,80,6,3.56,0.36
EDUCATED GUESS 11-1H,S505,MWRY,core,211.7336,4.9132,20.06,1,10597.6,2.47,0.18,10.53,0.26,443,426,11,10.71,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,145.9075,18.5325,18.93,1,10623.5,3.39,0.18,12.69,0.26,442,374,8,12.87,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,145.9075,18.5325,18.93,1,10623.5,3.39,0.18,12.69,0.26,442,374,8,12.87,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,211.7336,4.9132,20.06,1,10597.6,3.39,0.18,12.69,0.26,443,426,11,12.87,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,140.1864,15.8354,18.68,1,10642.7,2.28,0.29,8.05,0.2,441,353,9,8.34,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,136.5606,16.4522,17.8,1,10647.6,2.14,0.29,6.29,0.17,442,294,8,6.58,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,174.7419,10.9247,16.5,1,10663.7,1.14,0.14,3.9,0.28,440,342,25,4.04,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,141.5187,17.9478,19.65,1,10641.8,2.12,0.24,9.04,0.19,441,426,9,9.28,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,136.4613,13.6618,18.21,1,10651.7,2.36,0.25,7.22,0.18,442,306,8,7.47,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,157.6835,12.0433,19.21,1,10635.6,2.47,0.18,9.14,0.22,441,370,9,9.32,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,157.1885,11.0266,18.21,1,10645.4,2.44,0.23,8.13,0.16,441,333,7,8.36,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,113.0567,7.5325,20.82,1,10695.5,1.86,0.21,4.84,0.22,445,260,12,5.05,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,138.1476,15.3588,20.25,1,10627.7,2.98,0.15,9.85,0.3,441,330,10,9.97,0.02
