GR,ILD,Porosity,Avg. Depth,TOC
150.7421,13.2941,18.69,10619.5,2.63
138.9405,17.2271,19.67,10637.5,4.13
119.804,21.629,12.598,10820.5,1.1
138.9803993,38.25781269,10.11964108,11154.6,2.39
154.3341,26.35167182,8.40319361,11336.0,1.84
125.301907,79.96103783,15.60581563,9889.7,5.78
113.135171,51.70649342,7.10559882,11170.0,1.5
129.9387518,34.87214709,7.40518962,11295.5,1.46
132.1872122,51.40554821,10.0,11161.5,2.89
156.480199,20.0,6.8030585,11210.5,1.77
156.480199,20.0,6.8030585,11210.5,1.77
132.1872122,51.40554821,10.0,11161.5,2.89
154.5778968,22.35217218,6.71692538,11270.1,2.51
121.0769759,68.21043078,9.9001996,11179.0,1.67
154.330387,21.94175919,7.80721002,11281.5,1.73
154.5778968,22.35217218,6.71692538,11270.1,1.51
182.0997641,18.57106614,8.60279441,11085.0,1.28
182.0997641,18.57106614,8.60279441,11085.0,1.28
199.1262023,19.63277575,9.9001996,11183.9,1.13
135.6946753,19.63277575,9.9001996,11189.9,1.13
161.0574078,30.06715732,9.500998,11199.0,1.77
130.1952544,23.63004797,8.7996089,11074.7,1.68
206.8546852,14.6704558,8.40823326,11320.0,2.61
132.1149175,38.25781269,9.4011976,11263.2,0.68
126.3986413,68.21043078,9.9001996,11179.0,1.67
132.1149175,38.25781269,7.60479042,11263.2,1.55
182.0997641,18.57106614,8.60279441,11085.0,1.28
201.7631892,19.63277575,8.10379242,11348.1,1.98
136.4613,32.98631627,9.00199601,11111.6,1.3
139.6187,30.06715732,8.29381702,11089.9,1.05
122.6840372,3.5530934,7.70459082,9551.0,1.79
199.1262023,19.63277575,9.9001996,11183.9,1.13
150.7452184,30.06715732,9.500998,11343.2,1.77
161.570138,30.06715732,8.29381702,11199.0,1.05
138.7637949,28.97315504,7.10578842,11325.9,1.5
161.0574078,30.06715732,9.500998,11199.0,1.77
154.5778968,30.06715732,9.500998,11190.1,1.77
154.5778968,22.35217218,6.71692538,11270.1,1.51
157.0695711,30.06715732,7.4896688,11343.2,2.28
131.0774563,34.41281963,7.60453029,11287.2,1.04
154.3344544,26.35167182,8.40319361,11336.0,1.84
150.9204687,28.97315504,6.71692538,11235.4,1.51
144.0282205,43.55702053,8.30532782,11255.5,1.38
156.4822063,25.44824061,8.40319361,11313.7,1.57
142.2968296,32.98631627,9.00199601,11111.0,1.3
120.1014731,47.81801386,10.5988024,11188.1,2.3
182.0997641,18.57106614,8.60279441,11085.0,1.28
142.2968296,32.98631627,9.00199601,11111.0,1.3
126.3986413,68.21043078,9.9001996,11179.0,1.67
182.0997641,18.57106614,8.60279441,11085.0,1.28
113.135171,51.70649342,9.33550898,11170.0,1.94
125.5769519,37.44866602,7.29666526,11247.8,1.14
125.5769519,37.44866602,7.29666526,11247.8,1.14
150.9204687,28.97315504,6.40718563,11235.4,1.63
129.9387518,34.87214709,7.40518962,11295.5,1.46
150.5307165,18.23007884,7.80439122,11241.0,1.17
135.2113682,28.16232417,6.80267847,11305.3,1.15
138.7637949,28.97315504,6.40718563,11325.9,1.63
201.7631892,19.63277575,8.10379242,11348.1,1.98
150.9204687,28.97315504,6.40718563,11235.4,1.63
150.9204687,28.97315504,6.40718563,11235.4,1.63
129.9387518,34.87214709,7.40518962,11295.5,1.46
125.5769519,37.44866602,7.29666526,11247.8,1.14
150.5307165,18.23007884,7.80439122,11241.0,1.17
132.1149175,38.25781269,7.60479042,11263.2,1.55
150.5307165,28.97315504,6.40718563,11241.0,1.63
129.9387518,34.87214709,7.40518962,11295.5,1.46
138.7637949,28.97315504,6.40718563,11325.9,1.63
138.7667218,40.44501546,7.89925639,11126.0,0.66
125.7690897,43.55702053,9.00199601,11157.5,0.38
125.7690897,43.55702053,9.00199601,11157.5,0.38
146.2057,3.9927,6.1,10118.5,1.29
142.7554,5.1952,7.54,10128.5,1.37
143.9635,4.2261,8.48,10162.0,0.77
164.2583,11.1393,9.7,10200.5,3.36
140.1864,15.8354,18.88,10642.7,2.2
119.3044,9.5792,20.04,10687.8,2.5
146.3353,11.5752,19.25,10603.1,2.43
104.131,8.8336,11.77,10511.2,0.91
104.131,8.8336,11.77,10511.2,0.91
104.131,8.8336,11.77,10511.2,0.91
150.8412,5.9067,19.4,10613.7,1.39
136.5606,16.4522,17.62,10647.6,2.1
175.932,10.0063,18.57,10644.7,2.47
122.5773,4.0824,20.7,10728.4,1.35
160.2628,18.6295,19.45,10639.2,2.73
137.8498,14.9795,18.54,10621.4,2.6
230.4845228,11.47047238,9.500998,11145.1,0.55
129.6184,21.6216,19.19,10607.8,2.49
114.1287,7.6547,16.15,10699.4,2.13
102.8419,5.2902,20.45,10486.7,1.92
158.775,11.4337,18.88,10654.8,1.81
140.5272,14.3603,18.24,10649.7,2.13
157.6835,12.0433,19.21,10635.6,3.45
121.3212294,6.17392574,8.64373883,11438.0,1.02
158.4774,11.4337,18.88,10654.8,1.81
163.9319,10.4533,18.04,10655.6,1.76
108.396,10.8237,17.34,10582.6,2.56
153.5188,14.1312,20.06,10628.6,2.47
211.7336,4.9132,20.06,10597.6,2.47
156.480199,20.0,6.8030585,11210.5,1.77
142.4117,10.9485,8.60279441,10571.4,1.28
132.1872122,51.40554821,10.0,11161.5,3.16
132.1149175,38.25781269,8.60459042,11263.2,2.86
120.7479184,5.49967772,19.13957091,8364.0,2.57
137.9790982,8.04313948,12.67064,8387.0,3.06
230.4845228,11.47047238,9.001996,11145.1,0.38
138.7667218,40.44501546,9.0015988,11126.0,0.38
146.2057,3.9927,6.1,10118.5,1.29
113.135171,11.47047232,9.500998,11170.0,0.55
187.3148355,4.98463534,15.64073091,8407.0,5.78
199.1262023,19.63277575,9.9001996,11183.9,1.13
199.1262023,19.63277575,9.9001996,11183.9,1.13
187.3148355,4.98463534,7.70459082,8407.0,2.61
199.1262023,19.63277575,9.9001996,11183.9,1.13
130.1952544,23.63004797,6.8035909,11074.7,1.77
130.1952544,23.63004797,8.7996089,11074.7,1.68
138.9803993,51.70649342,9.7005988,11154.6,1.83
156.4822063,25.44824061,9.40319361,11313.7,2.13
129.8777456,51.51238652,9.4011976,11161.0,0.38
125.7690897,43.55702053,9.00199601,11157.5,0.38
141.5701017,26.45286186,25.60581566,9880.5,2.9
182.0997641,18.57106614,8.60279441,11085.0,1.28
131.0774563,34.41281963,7.60453029,11287.2,1.04
154.3344544,26.35167182,8.40319361,11336.0,1.84
135.6946753,30.06715732,8.29381702,11089.9,1.05
108.7244106,21.62159562,7.29666526,8378.5,1.14
120.1014731,47.81801386,10.5988024,11188.1,2.3
138.7637949,28.97315504,6.40718563,11325.9,1.63
201.7631892,19.63277575,8.10379242,11348.1,1.98
204.4144792,19.59340834,7.70459082,11137.1,1.79
128.2361,10.5356,17.95,10666.7,2.13
93.569,9.3217,12.72,10538.8,1.33
207.5247,8.2319,21.5,10714.3,2.52
126.1472,8.1033,19.22,10675.3,2.74
230.4845228,11.47047238,9.500998,11145.1,0.55
129.8777456,51.51238652,9.4011976,11161.0,0.38
267.6663,3.687,18.61,10614.7,1.48
122.5773,4.0824,20.7,10728.4,1.35
156.984,15.5351,19.78,10626.8,4.45
158.775,10.5356,18.57,10656.7,1.39
140.1864,15.8354,18.68,10642.7,2.28
31.99191347,4.42934366,17.97607178,12658.0,2.13
137.8498,14.9795,16.5,10621.4,1.14
128.2361,11.1217,19.31,10684.5,2.31
128.2361,11.1217,19.31,10684.5,2.31
150.8412,5.9067,19.4,10613.7,1.39
174.7419,10.9247,16.5,10663.7,2.14
141.5187,17.9478,19.65,10641.8,2.12
130.7094,15.2337,18.06,10648.7,2.29
174.7419,10.9247,16.5,10663.7,1.14
124.6601,16.4368,17.62,10646.5,2.1
93.569,9.3217,12.72,10538.8,1.33
267.6663,3.687,19.68,10614.7,3.16
114.1287,7.6547,19.7,10699.4,4.45
136.4612,9.8762,17.31,10677.9,1.32
108.396,10.8237,17.34,10582.6,2.56
120.0979,14.0496,18.03,10618.5,2.62
137.8495,18.5789,18.73,10622.7,2.72
114.1287,7.6547,19.7,10699.4,4.45
136.4613,13.6618,18.21,10651.7,2.36
158.4774,11.4337,18.88,10654.8,1.81
143.8251,17.4556,19.18,10624.7,1.52
147.6676,11.4337,18.88,10653.5,1.81
140.5272,14.3603,18.23,10649.7,2.12
140.5272,14.3603,18.23,10649.7,2.12
137.8495,18.5789,18.73,10622.7,2.72
120.0979,14.0496,18.03,10618.5,2.62
31.99191347,4.42934366,13.03090728,12674.0,2.46
136.4612,12.9171,18.62,10652.6,2.29
211.7336,4.9132,20.06,10597.6,2.47
120.000987,15.0495,19.21,10617.8,2.47
143.397,39.845,7.808,10966.5,1.93
119.804,21.629,12.598,10820.5,1.1
138.9405,17.2271,19.67,10637.5,4.13
136.4612,36.446,8.567,10862.6,1.97
169.9461,2.5719,10.288,10174.0,1.65
156.480199,20.0,6.8030585,11210.5,1.77
156.6595,4.723,7.16,10142.0,1.81
146.2057,3.9927,6.1,10118.5,1.29
114.1287,7.6547,20.72,10699.4,1.56
138.6959283,5.59122354,10.0,9202.0,2.39
206.8546852,12.19940574,18.64,11320.0,1.93
132.1872122,51.40554821,10.0,11161.5,2.89
137.5701088,8.04313948,12.67064,8387.0,3.06
124.9178629,5.88249361,9.234821818,8391.0,1.3
156.4801013,20.0,6.8030585,11210.5,1.77
132.1872122,51.40554821,10.0,11161.5,2.89
124.9178629,5.88249361,9.234821818,8391.0,1.3
141.5701017,26.45286186,25.60581566,9880.5,2.9
147.0724,13.8501,9.88,10636.7,2.47
167.2676725,11.67513783,8.444666,9444.0,2.25
129.6184,21.6216,19.19,10607.8,2.43
138.9803993,38.25781269,7.60479042,11154.6,1.55
120.1014731,47.81801386,10.5988024,11188.1,2.3
135.6946753,30.06715732,8.29381702,11089.9,1.05
154.5778968,22.35217218,6.71692538,11270.1,1.51
154.3344544,26.35167182,8.40319361,11336.0,1.84
132.1149175,38.25781269,7.60479042,11263.2,1.55
161.0574078,30.06715732,8.29381702,11199.0,1.05
142.2968296,32.98631627,9.00199601,11111.0,1.3
104.131,8.8336,11.77,10511.2,0.91
124.6601,16.4368,17.62,10646.5,2.1
123.5692,9.8762,17.31,10677.4,1.32
153.5188,14.1312,19.65,10628.6,2.12
212.5262,4.1598,19.41,10615.5,4.0
182.0997248,18.57106614,8.60279441,11085.0,1.28
135.2113682,28.16232417,6.80267847,11305.3,1.15
150.9204687,28.97315504,6.40718563,11235.4,1.63
150.5307165,18.23007884,7.80439122,11241.0,1.17
142.6134917,44.09833258,7.70459082,11225.15,2.61
212.5262,4.1598,19.41,10615.5,4.0
141.5187,17.9478,19.64,10641.8,2.16
